seed,Beh_Mic,Beh_Mac,His_Mic,His_Mac,Lat_Mic,Lat_Mac,Site_Mic,Site_Mac,Subs_Mic,Subs_Mac,model
0,0.978467683917674,0.9168110839023648,0.7922634589552802,0.3655759435077793,0.920486388859542,0.5421539135024519,0.9301759310965886,0.7059747807807986,0.6923796730911451,0.3439080720675397,t-1
1,0.978070241634846,0.9105096928201766,0.7866187723561284,0.32945403820108543,0.9196462260591334,0.5366780804512805,0.9294866957453553,0.6982708428171154,0.6895673916215143,0.3240401667977485,t-2
2,0.97723510974941,0.8822240680541301,0.7650411780390499,0.2019359159698289,0.9186802903844122,0.5161797998133599,0.9261914464383636,0.6509921751309222,0.674444461214161,0.259873066396828,t-5
3,0.9760830302207062,0.8731275585625369,0.7508640596465279,0.15135373142907455,0.9181470133973264,0.5148065522024976,0.9236659271221656,0.6263126737781185,0.6654642779882377,0.2333319527060757,t-7
4,0.9762339576698814,0.8480210044406747,0.7398866031765197,0.1209281173642754,0.9190827635822127,0.5106401782462707,0.9213265516599504,0.6046876645111314,0.6576110197161558,0.2252878457688106,t-10
5,0.9759270718565586,0.8502477125381079,0.7304838230929059,0.1031220742850002,0.9174879635359284,0.4786736979224697,0.9203103068355042,0.583796336401481,0.6460851935141444,0.20394967576779427,t-13
6,0.9761434012003763,0.8603873316083858,0.727570923323825,0.09952602169093414,0.9178904367337288,0.4986842266824398,0.9197015661238308,0.5795765047838138,0.6435797978578364,0.19761413992208685,t-15
7,0.9749158579470848,0.8559503631537972,0.7238983553938955,0.0919029064133652,0.9181822298021342,0.5085331904303699,0.9186199194047422,0.5731307091470151,0.6378194002143169,0.18819559614185066,t-17
8,0.9756403097031257,0.8694020479146036,0.7240895301628507,0.09334386927326807,0.9180061477780964,0.497295745036586,0.9178954676487012,0.5669991564450334,0.6357919414803971,0.18830204945445872,t-20
9,0.9734518616900856,0.8413662194917053,0.7237625206896379,0.09211472966903743,0.9181721679721891,0.5173321052958121,0.9176992619647736,0.5656551420044,0.6353089736430365,0.1856115185743761,t-22
10,0.97510703271604,0.871000503897828,0.7223186480925285,0.09258517322726582,0.918162106142244,0.5136960895168025,0.9167383572050248,0.5657421227816758,0.6344084398629579,0.18481091599640875,t-25
11,0.9759924737512012,0.8541033920361071,0.7191189861700148,0.08848854967263801,0.9184840847004844,0.5103334953946436,0.9166779862253548,0.5554195602937013,0.6307056864431935,0.18327701010198627,t-30
